143:2026-07-10 01:24:11.088 Df AttachMobile[9472:25adee] (Foundation) [D/ServerConfigStore] loaded 106 chars
621:2026-07-10 01:24:12.569 Df AttachMobile[9472:25adee] (Foundation) [I/AttachApp] opening server Local PCServer (127.0.0.1:48740)
622:2026-07-10 01:24:12.570 Df AttachMobile[9472:25ae10] (Foundation) [I/TcpTerminalClient] listing sessions from 127.0.0.1:48740
624:2026-07-10 01:24:12.570 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
631:2026-07-10 01:24:12.879 Df AttachMobile[9472:25ae10] (Foundation) [I/TcpTerminalClient] loaded 1 sessions
632:2026-07-10 01:24:12.879 Df AttachMobile[9472:25adee] (Foundation) [I/AttachApp] loaded 1 windows for Local PCServer
1756:2026-07-10 01:24:15.992 Df AttachMobile[9472:25adee] (Foundation) [I/TerminalScreen] entering tab cat of window cat
1759:2026-07-10 01:24:15.993 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
1760:2026-07-10 01:24:16.016 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 36 chars
1769:2026-07-10 01:24:16.419 Df AttachMobile[9472:25ae06] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
1770:2026-07-10 01:24:16.423 Df AttachMobile[9472:25ae06] (Foundation) [D/TcpTerminalClient] read 36 chars
1773:2026-07-10 01:24:16.826 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
1774:2026-07-10 01:24:16.845 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 36 chars
1777:2026-07-10 01:24:17.249 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
1778:2026-07-10 01:24:17.261 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 36 chars
1781:2026-07-10 01:24:17.665 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
1782:2026-07-10 01:24:17.672 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 36 chars
1785:2026-07-10 01:24:18.077 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
1786:2026-07-10 01:24:18.109 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 36 chars
2363:2026-07-10 01:24:18.565 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
2364:2026-07-10 01:24:18.565 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 36 chars
2367:2026-07-10 01:24:18.968 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
2368:2026-07-10 01:24:18.972 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 36 chars
2383:2026-07-10 01:24:19.376 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
2384:2026-07-10 01:24:19.380 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 36 chars
2740:2026-07-10 01:24:19.790 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
2741:2026-07-10 01:24:19.791 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 36 chars
2770:2026-07-10 01:24:20.193 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
2771:2026-07-10 01:24:20.209 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 36 chars
2774:2026-07-10 01:24:20.612 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
2775:2026-07-10 01:24:20.641 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 36 chars
2778:2026-07-10 01:24:21.043 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
2779:2026-07-10 01:24:21.044 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 36 chars
3246:2026-07-10 01:24:21.242 Df AttachMobile[9472:25ae05] (Foundation) [I/TcpTerminalClient] sending 18 chars to window=pty-1783617842577-2 tab=cat
3249:2026-07-10 01:24:21.243 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3307:2026-07-10 01:24:21.282 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] input accepted
3310:2026-07-10 01:24:21.446 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3317:2026-07-10 01:24:21.473 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3320:2026-07-10 01:24:21.876 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3321:2026-07-10 01:24:21.884 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3324:2026-07-10 01:24:22.287 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3325:2026-07-10 01:24:22.287 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3328:2026-07-10 01:24:22.690 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3329:2026-07-10 01:24:22.720 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3332:2026-07-10 01:24:23.122 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3333:2026-07-10 01:24:23.138 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3336:2026-07-10 01:24:23.541 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3337:2026-07-10 01:24:23.571 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3348:2026-07-10 01:24:23.972 Df AttachMobile[9472:25ae17] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3349:2026-07-10 01:24:23.984 Df AttachMobile[9472:25ae17] (Foundation) [D/TcpTerminalClient] read 74 chars
3352:2026-07-10 01:24:24.386 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3353:2026-07-10 01:24:24.397 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3356:2026-07-10 01:24:24.800 Df AttachMobile[9472:25ae17] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3357:2026-07-10 01:24:24.812 Df AttachMobile[9472:25ae17] (Foundation) [D/TcpTerminalClient] read 74 chars
3360:2026-07-10 01:24:25.216 Df AttachMobile[9472:25ae17] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3361:2026-07-10 01:24:25.224 Df AttachMobile[9472:25ae17] (Foundation) [D/TcpTerminalClient] read 74 chars
3364:2026-07-10 01:24:25.626 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3365:2026-07-10 01:24:25.811 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3368:2026-07-10 01:24:26.215 Df AttachMobile[9472:25ae17] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3369:2026-07-10 01:24:26.231 Df AttachMobile[9472:25ae17] (Foundation) [D/TcpTerminalClient] read 74 chars
3372:2026-07-10 01:24:26.635 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3373:2026-07-10 01:24:26.661 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3376:2026-07-10 01:24:27.064 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3377:2026-07-10 01:24:27.068 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 74 chars
3380:2026-07-10 01:24:27.471 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3381:2026-07-10 01:24:27.475 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
